Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017]
Anguilla,AIA,Price level index (World = 100),PX.WL,1101110:Bread and cereals,1101110,192.559690765854
Anguilla,AIA,Price level index (World = 100),PX.WL,1101120:Meat,1101120,119.448704340872
Anguilla,AIA,Price level index (World = 100),PX.WL,1101130:Fish and seafood,1101130,159.130107965172
Anguilla,AIA,Price level index (World = 100),PX.WL,"1101140:Milk, cheese and eggs",1101140,200.502671829767
Anguilla,AIA,Price level index (World = 100),PX.WL,1101150:Oils and fats,1101150,174.469116595387
Anguilla,AIA,Price level index (World = 100),PX.WL,1101160:Fruit,1101160,246.519463304484
Anguilla,AIA,Price level index (World = 100),PX.WL,1101170:Vegetables,1101170,288.731626764767
Anguilla,AIA,Price level index (World = 100),PX.WL,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,186.363759548737
Anguilla,AIA,Price level index (World = 100),PX.WL,1101200:NON-ALCOHOLIC BEVERAGES,1101200,174.958264730759
Anguilla,AIA,Price level index (World = 100),PX.WL,1102100:ALCOHOLIC BEVERAGES,1102100,142.452653051901
Antigua and Barbuda,ATG,Price level index (World = 100),PX.WL,1101100:FOOD,1101100,168.613011574931
Antigua and Barbuda,ATG,Price level index (World = 100),PX.WL,1101110:Bread and cereals,1101110,143.93059746127
Antigua and Barbuda,ATG,Price level index (World = 100),PX.WL,1101120:Meat,1101120,112.490690897379
Antigua and Barbuda,ATG,Price level index (World = 100),PX.WL,1101130:Fish and seafood,1101130,139.358068252133
Antigua and Barbuda,ATG,Price level index (World = 100),PX.WL,"1101140:Milk, cheese and eggs",1101140,188.473219648647
Antigua and Barbuda,ATG,Price level index (World = 100),PX.WL,1101150:Oils and fats,1101150,166.865727724027
Antigua and Barbuda,ATG,Price level index (World = 100),PX.WL,1101160:Fruit,1101160,339.874143782292
Antigua and Barbuda,ATG,Price level index (World = 100),PX.WL,1101170:Vegetables,1101170,318.68296942689
Antigua and Barbuda,ATG,Price level index (World = 100),PX.WL,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,179.532730853637
Antigua and Barbuda,ATG,Price level index (World = 100),PX.WL,1101200:NON-ALCOHOLIC BEVERAGES,1101200,132.71176496935
Antigua and Barbuda,ATG,Price level index (World = 100),PX.WL,1102100:ALCOHOLIC BEVERAGES,1102100,181.223065281222
Argentina,ARG,Price level index (World = 100),PX.WL,1101100:FOOD,1101100,122.409081593523
Argentina,ARG,Price level index (World = 100),PX.WL,1101110:Bread and cereals,1101110,136.984359086443
Argentina,ARG,Price level index (World = 100),PX.WL,1101120:Meat,1101120,84.5241672268272
Argentina,ARG,Price level index (World = 100),PX.WL,1101130:Fish and seafood,1101130,162.489057238389
Argentina,ARG,Price level index (World = 100),PX.WL,"1101140:Milk, cheese and eggs",1101140,142.741382032126
Argentina,ARG,Price level index (World = 100),PX.WL,1101150:Oils and fats,1101150,151.130675953936
Argentina,ARG,Price level index (World = 100),PX.WL,1101160:Fruit,1101160,139.555053044481
Argentina,ARG,Price level index (World = 100),PX.WL,1101170:Vegetables,1101170,160.133622154422
Argentina,ARG,Price level index (World = 100),PX.WL,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,119.939146910989
Argentina,ARG,Price level index (World = 100),PX.WL,1101200:NON-ALCOHOLIC BEVERAGES,1101200,137.082041701277
